IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3
0000_2,2,1,-154.67822476,-154.67258899,-154.51406811
0000_3,2,1,-154.65706833,-154.65507247,-154.48546662
0002_10,2,1,-154.62363806,-154.61638381,-154.40847051
0002_11,2,1,-154.62437216,-154.61502136,-154.40983481
0002_12,2,1,-154.62483206,-154.61745652,-154.43619774
0002_13,2,1,-154.63269722,-154.63154666,-154.4157218
0002_14,2,1,-154.65073462,-154.64809804,-154.46537431
0002_15,2,1,-154.63173672,-154.63055043,-154.45973865
0002_2,2,3,-154.88646083,-154.61517996,-154.61423418
0002_3,3,2,-154.82963262,-154.59067705,-154.5893705
0002_4,3,2,-154.76124398,-154.60780266,-154.60635432
0002_5,2,1,-154.64162997,-154.62472687,-154.44605449
0002_6,2,3,-154.72751222,-154.59437562,-154.58368046
0002_7,2,1,-154.63972602,-154.63132805,-154.50110499
0002_8,3,2,-154.72635794,-154.6210065,-154.61494529
0002_9,3,2,-154.78809185,-154.63025301,-154.62546458
0003_10,2,1,-154.64602631,-154.62373705,-154.4776093
0003_11,2,1,-154.64474365,-154.64309689,-154.48221622
0003_12,2,1,-154.6197012,-154.61018771,-154.45623959
0003_13,2,1,-154.63065132,-154.62680449,-154.46618406
0003_2,2,3,-154.88092265,-154.60501391,-154.60351106
0003_3,3,2,-154.86679112,-154.6001674,-154.59895601
0003_4,2,3,-154.66657957,-154.58572018,-154.5800695
0003_5,3,2,-154.74440402,-154.59995593,-154.59333806
0003_6,2,1,-154.65608286,-154.65278911,-154.47862067
0003_7,3,2,-154.80559807,-154.59132158,-154.5910905
0003_8,2,1,-154.66696974,-154.66177741,-154.45414753
0003_9,2,1,-154.63774606,-154.63225918,-154.44853305
0004_10,3,2,-154.7444632,-154.62352862,-154.61791191
0004_11,3,2,-154.72426493,-154.60880281,-154.60507502
0004_12,2,1,-154.60575872,-154.600358,-154.47222097
0004_13,2,1,-154.62581223,-154.62152467,-154.44140731
0004_14,2,1,-154.65649802,-154.65444201,-154.46455544
0004_15,2,1,-154.6509234,-154.6462001,-154.47667669
0004_16,2,1,-154.64010455,-154.63628986,-154.47382309
0004_17,2,1,-154.65677125,-154.65642022,-154.4643024
0004_18,2,1,-154.62451707,-154.62183945,-154.57187679
0004_19,2,1,-154.64186534,-154.62914472,-154.41549233
0004_2,2,3,-154.87911892,-154.60867607,-154.60470939
0004_20,2,1,-154.63023664,-154.63013513,-154.40892594
0004_21,2,1,-154.63400514,-154.62717045,-154.46197182
0004_22,2,1,-154.61843408,-154.60894684,-154.43970267
0004_3,3,2,-154.87876002,-154.605881,-154.60117709
0004_4,3,2,-154.83829692,-154.56808047,-154.56699811
0004_5,2,3,-154.87657767,-154.61186774,-154.60845497
0004_6,3,2,-154.73329101,-154.60520347,-154.59754766
0004_7,3,2,-154.7285345,-154.60136716,-154.5948458
0004_8,3,2,-154.76994246,-154.65221294,-154.64868295
0004_9,3,2,-154.76172753,-154.63208406,-154.62813701
0005_10,2,1,-154.63826713,-154.6353413,-154.49073426
