atom_index,element,meci_x,meci_y,meci_z,avg_x,avg_y,avg_z,dev_x,dev_y,dev_z,dev_norm,var_x,var_y,var_z,var_norm,skew_x,skew_y,skew_z,skew_norm,kurtosis
0,C,0.34519184,-1.10109629,0.14540842,0.35668895,-1.13913991,0.14552733,0.011497109999999977,-0.038043619999999834,0.00011890999999999985,0.039743108844736676,0.00013218353835209946,0.0014473170227043957,1.4139588099999964e-08,0.0014533406525041282,0.0,0.0,0.0,0.0,-2.0
1,C,1.85736984,-1.01273632,0.23784687,1.83243946,-1.01343385,0.23862195,-0.02493038000000003,-0.0006975300000000573,0.0007750800000000113,0.024952177140516247,0.0006215238469444015,4.865481009000799e-07,6.007490064000176e-07,0.0006215243277209598,0.0,0.0,0.0,0.0,-2.0
2,C,2.42242171,0.12836982,-0.17658134,2.406699195,0.14946219,-0.17505439,-0.015722515000000215,0.02109237,0.0015269499999999991,0.02635179550703579,0.0002471974779252248,0.00044488807221689994,2.3315763024999973e-06,0.000508957194802781,0.0,0.0,0.0,0.0,-2.0
3,C,1.70315888,1.46012788,-0.14709467,1.742761635,1.458192265,-0.15692932,0.03960275499999999,-0.001935614999999835,-0.00983465,0.04085150119200944,0.0015683782035900242,3.7466054282247916e-06,9.672034062250001e-05,0.0015713621641234203,0.0,0.0,0.0,0.0,-2.0
4,C,0.3516132,1.39229014,0.02953712,0.32393937500000003,1.398990415,0.029805785,-0.027673824999999985,0.006700275000000033,0.00026866500000000126,0.028474663406061092,0.0007658405901306257,4.489368507562396e-05,7.218088222499974e-08,0.000767155302179014,0.0,0.0,0.0,0.0,-2.0
5,C,-0.28622554,0.21461594,0.19646963,-0.267959615,0.22266914999999998,0.209863075,0.018265925000000016,0.008053209999999977,0.013393445000000004,0.024039188346900366,0.0003336440161056251,6.485419130409985e-05,0.0001793843689680251,0.0003843216718360493,0.0,0.0,0.0,0.0,-2.0
6,H,0.48637704,-0.84237609,-1.64377851,0.45997290999999996,-0.80472598,-1.65966841,-0.026404130000000026,0.03765011000000007,-0.015889900000000123,0.04865385684690383,0.0006971780810568999,0.001417530783012101,0.0002524889220100004,0.0015997504346712502,0.0,0.0,0.0,0.0,-2.0
7,H,2.18230991,-2.19865345,0.39417017,2.1973696599999997,-2.15857412,0.33681395000000003,0.015059749999999816,0.04007933000000019,-0.05735621999999996,0.07157433014705625,0.00022679607006250116,0.0016063526932488974,0.0032897359726883984,0.003667992394008453,0.0,0.0,0.0,0.0,-2.0
8,H,3.39947459,-0.03066109,-0.25485599,3.456679465,-0.01416843,-0.268075735,0.057204875000000044,0.01649266,-0.013219745000000005,0.06098497532594611,0.00327239772376563,0.00027200783387559997,0.00017476165786502513,0.003288330391134064,0.0,0.0,0.0,0.0,-2.0
9,H,2.25491263,2.45863733,-0.18887444,2.24281873,2.41319091,-0.142636285,-0.01209389999999999,-0.04544642000000021,0.046238155,0.06595154650067309,0.0001462624172099998,0.002065377090816399,0.002137966977804025,0.00297625234483533,0.0,0.0,0.0,0.0,-2.0
10,H,-0.10380689,2.4777868,-0.14649401,-0.080258365,2.45604244,-0.072804755,0.023548525,-0.021744360000000018,0.07368925500000001,0.0803583009025219,0.0005545330296756251,0.0004728171918096008,0.005430106302455026,0.005478787952990491,0.0,0.0,0.0,0.0,-2.0
11,H,-1.22982614,0.12548655,0.50234052,-1.299522445,0.15601874500000001,0.394425145,-0.06969630500000012,0.030532195000000012,-0.10791537499999998,0.13204362166936232,0.004857574930653027,0.0009322149315180249,0.01164572816139062,0.01265259037882996,0.0,0.0,0.0,0.0,-2.0
