idx,cluster
0648_2,1
0470_3,1
0299_2,2
0435_3,1
0572_4,0
0022_5,1
0861_5,2
0318_3,1
0120_2,0
0165_2,0
0926_2,2
0198_2,1
0771_3,0
0549_2,1
0734_3,2
0636_4,1
0673_4,0
0221_2,1
0019_3,0
0264_2,0
0013_13,2
0513_5,2
0187_5,2
0454_2,2
0085_2,1
0411_2,2
0629_3,2
0535_6,2
0947_3,2
0104_3,2
0902_3,1
0141_3,2
0590_3,2
0379_2,0
0845_4,0
0006_4,0
0612_5,2
0384_2,0
0755_2,1
0710_2,2
0205_3,2
0078_2,1
0691_3,2
0240_3,2
0939_5,0
0307_4,2
0885_4,2
0181_3,1
0768_2,2
0550_3,1
0494_2,0
0806_2,0
0045_2,0
0238_3,2
0843_2,1
0000_2,2
0013_8,2
0102_5,2
0382_4,2
0753_4,2
0614_3,0
0651_3,2
0469_2,1
0280_3,2
0344_2,2
0795_2,0
0301_2,2
0139_3,0
0878_4,1
0531_2,0
0709_3,1
0574_2,0
0061_3,0
0822_3,2
0688_2,0
0259_2,1
0867_3,0
0408_3,0
0630_2,0
0675_2,1
0777_5,0
0262_4,1
0158_2,2
0589_2,0
0360_3,0
0325_3,2
0360_2,0
0589_3,2
0158_3,2
0325_2,1
0777_4,0
0630_3,2
0408_2,0
0675_3,1
0259_3,1
0688_3,0
0822_2,2
0061_2,0
0867_2,0
0024_2,1
0709_2,1
0574_3,2
0203_4,0
0344_3,0
0139_2,2
0301_3,0
0614_2,2
0280_2,2
0469_3,1
0651_2,2
0382_5,0
0102_4,0
0941_4,0
0013_9,2
0045_3,2
0806_3,2
0494_3,2
0000_3,0
0238_2,0
0515_2,2
0550_2,1
0768_3,0
0181_2,1
0939_4,2
0307_5,0
0205_2,2
0240_2,1
0691_2,2
0078_3,1
0384_3,2
0710_3,2
0528_2,2
0612_4,2
0006_5,2
0845_5,2
0863_6,2
0104_2,2
0947_2,0
0379_3,0
0590_2,0
0141_2,1
0902_2,1
0085_3,0
0454_3,2
0629_2,2
0513_4,0
0013_12,2
0187_4,2
0019_2,2
0264_3,0
0636_5,1
0673_5,0
0549_3,1
0771_2,0
0198_3,1
0734_2,0
0120_3,2
0318_2,1
0926_3,0
0165_3,2
0824_4,0
0861_4,2
0022_4,2
0299_3,2
0470_2,1
0648_3,1
0435_2,1
0087_3,1
0456_3,0
0881_3,0
0413_3,1
0511_4,2
0490_5,2
0956_8,0
0106_2,0
0945_2,0
0592_2,2
0143_2,0
0900_2,2
