idx,cluster
0098_20,1
0148_17,2
0152_9,1
0013_12,2
0070_10,1
0044_14,1
0116_21,1
0013_11,2
0165_4,0
0122_6,0
0139_11,2
0054_14,0
0049_9,1
0047_7,0
0111_11,0
0098_19,1
0122_5,0
0048_12,2
0156_8,2
0153_22,2
0127_7,1
0166_14,2
0068_10,2
0085_13,2
0017_15,0
0132_8,2
0059_6,1
0012_9,1
0031_12,1
0162_5,1
0087_11,1
0166_13,2
0166_10,1
0087_13,1
0034_15,1
0149_14,2
0010_15,0
0157_16,0
0080_14,1
0086_9,0
0034_16,1
0168_7,2
0000_17,1
0134_12,0
0066_8,0
0000_16,1
0049_10,1
0132_6,2
0010_4,0
0073_7,2
0141_12,0
0116_16,0
0156_4,0
0084_11,0
0156_5,0
0030_13,2
0106_9,0
0141_11,2
0156_7,2
0156_6,2
0051_11,1
0030_14,0
0039_9,0
0152_7,2
0041_8,2
0051_10,1
0053_17,1
0098_11,0
0043_9,2
