idx,cluster,smiles
0081_15,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0041_6,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0070_13,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0178_7,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0013_13,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0096_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0146_12,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0020_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0141_3,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0065_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0117_9,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0098_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0135_17,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0119_6,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0160_16,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0083_4,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0011_16,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0161_6,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0124_6,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0013_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0044_17,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0056_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0147_5,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0139_17,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0062_13,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0081_6,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0037_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0054_12,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0163_4,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0072_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0061_3,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0154_12,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0029_12,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0039_6,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0039_7,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0154_13,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0037_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0126_5,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0072_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0163_5,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0054_13,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0081_7,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0062_12,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0058_6,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0139_16,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0116_22,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0013_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0147_4,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0056_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0044_16,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0161_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0124_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0119_7,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0160_17,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0098_6,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0135_16,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0043_5,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0152_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0117_8,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0020_6,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0065_6,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0148_16,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0096_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0178_6,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0070_12,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0120_3,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0041_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0176_9,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0067_4,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0081_14,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0158_11,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0081_16,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0041_5,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0150_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0067_6,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0069_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0148_14,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0048_14,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0013_10,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0043_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0174_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0065_4,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0131_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0020_4,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0135_14,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0160_15,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0119_5,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0011_15,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0083_7,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0147_6,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0116_20,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0035_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0118_19,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0124_5,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0070_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0161_5,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0137_11,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0139_14,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0149_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0162_10,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0153_24,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0153_18,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0054_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0054_11,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0163_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0126_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0128_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0039_5,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0029_11,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0029_10,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0128_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0163_6,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0054_10,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0154_10,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0054_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0153_25,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0139_15,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0037_10,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0137_10,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0118_18,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0035_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0161_4,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0070_9,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0063_3,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0147_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0044_15,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0011_14,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0083_6,2,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0160_14,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0135_15,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0098_5,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0065_5,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0174_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0048_15,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0148_15,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0070_11,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0178_5,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0069_8,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
0067_7,1,[H][C]1[C]([H])[C]([H])[C]([H])[C]([H])[C]1[H]
