idx,meci_type
0081_15,0081_15
0041_6,0081_15
0070_13,0070_13
0013_13,0070_13
0098_20,0070_13
0191_10,0070_13
0187_5,0178_7
0096_8,0081_15
0148_17,0070_13
0146_12,0178_7
0020_7,0070_13
0141_3,0081_15
0065_7,0081_15
0152_9,0070_13
0117_9,0178_7
0200_14,0081_15
0098_7,0081_15
0135_17,0081_15
0119_6,0178_7
0160_16,0070_13
0083_4,0178_7
0192_9,0070_13
0011_16,0081_15
0193_15,0178_7
0181_3,0178_7
0161_6,0178_7
0124_6,0178_7
0013_8,0070_13
0044_17,0070_13
0056_8,0081_15
0147_5,0070_13
0139_17,0081_15
0062_13,0070_13
0081_6,0178_7
0183_10,0178_7
0037_9,0081_15
0054_12,0070_13
0163_4,0178_7
0072_9,0081_15
0061_3,0081_15
0154_12,0070_13
0029_12,0081_15
0039_6,0178_7
0039_7,0178_7
0154_13,0178_7
0037_8,0081_15
0126_5,0178_7
0072_8,0081_15
0163_5,0081_15
0054_13,0070_13
0081_7,0178_7
0062_12,0178_7
0058_6,0178_7
0139_16,0178_7
0116_22,0070_13
0013_9,0178_7
0147_4,0178_7
0056_9,0081_15
0044_16,0070_13
0161_7,0178_7
0124_7,0081_15
0192_8,0070_13
0119_7,0178_7
0160_17,0070_13
0098_6,0081_15
0135_16,0081_15
0043_5,0081_15
0152_8,0081_15
0117_8,0178_7
0020_6,0178_7
0146_13,0146_13
0065_6,0070_13
0148_16,0178_7
0191_11,0070_13
0013_12,0070_13
0096_9,0081_15
0178_6,0178_7
0070_12,0070_13
0198_3,0178_7
0120_3,0178_7
0041_7,0081_15
0176_9,0178_7
0067_4,0081_15
0185_6,0178_7
0081_14,0081_15
0158_11,0178_7
0081_16,0081_15
0041_5,0178_7
0150_8,0081_15
0067_6,0081_15
0069_9,0081_15
0070_10,0070_13
0148_14,0070_13
0048_14,0178_7
0013_10,0178_7
0043_7,0081_15
0174_9,0070_13
0065_4,0081_15
0131_9,0070_13
0146_11,0178_7
0020_4,0178_7
0135_14,0070_13
0189_9,0081_15
0160_15,0070_13
0119_5,0178_7
0011_15,0070_13
0193_16,0081_15
0083_7,0178_7
0044_14,0070_13
0147_6,0081_15
0116_20,0081_15
0035_8,0070_13
0118_19,0081_15
0124_5,0178_7
0070_8,0070_13
0161_5,0081_15
0137_11,0081_15
0139_14,0070_13
0149_9,0081_15
0162_10,0070_13
0153_24,0070_13
0153_18,0081_15
0054_9,0081_15
0054_11,0081_15
0163_7,0081_15
0126_7,0070_13
0128_8,0081_15
0039_5,0178_7
0029_11,0178_7
0029_10,0178_7
0128_9,0081_15
0163_6,0081_15
0054_10,0081_15
0154_10,0081_15
0054_8,0081_15
0190_9,0081_15
0153_25,0070_13
0139_15,0081_15
0037_10,0070_13
0137_10,0070_13
0118_18,0070_13
0035_9,0070_13
0161_4,0081_15
0070_9,0081_15
0063_3,0178_7
0147_7,0178_7
0044_15,0070_13
0116_21,0070_13
0193_17,0081_15
0011_14,0070_13
0083_6,0178_7
0160_14,0070_13
0135_15,0070_13
0098_5,0081_15
0200_16,0178_7
0189_8,0081_15
0065_5,0070_13
0174_8,0081_15
0048_15,0070_13
0187_7,0178_7
0191_12,0070_13
0013_11,0070_13
0148_15,0178_7
0070_11,0070_13
0178_5,0178_7
0069_8,0081_15
0067_7,0081_15
0150_9,0081_15
0158_10,0178_7
0185_5,0178_7
0081_17,0081_15
0156_11,0081_15
0165_4,0081_15
0074_9,0070_13
0056_11,0070_13
0143_7,0081_15
0106_7,0070_13
0003_10,0146_13
0087_6,0178_7
0081_13,0070_13
0108_8,0178_7
0019_5,0081_15
0070_15,0081_15
0198_4,0178_7
0122_6,0070_13
0015_8,0070_13
0146_14,0070_13
0085_4,0081_15
0194_9,0178_7
0148_11,0070_13
0187_3,0178_7
0078_4,0178_7
0169_9,0178_7
0160_10,0081_15
0200_12,0081_15
0135_11,0081_15
0026_7,0070_13
0044_11,0081_15
0063_7,0178_7
0154_9,0081_15
0111_9,0070_13
0000_4,0081_15
0116_19,0070_13
0181_5,0178_7
0111_10,0070_13
0011_10,0178_7
0118_20,0070_13
0062_15,0070_13
0039_11,0081_15
0139_11,0070_13
0061_5,0178_7
0170_8,0081_15
0135_8,0081_15
0047_6,0178_7
0054_14,0070_13
0153_21,0178_7
0183_7,0081_15
0049_9,0070_13
0158_5,0178_7
0049_8,0081_15
0153_20,0070_13
0163_3,0178_7
0054_15,0081_15
0047_7,0070_13
0170_9,0178_7
0135_9,0081_15
0139_10,0070_13
0062_14,0070_13
0039_10,0070_13
0193_12,0070_13
0118_21,0081_15
0011_11,0070_13
0116_18,0081_15
0111_11,0070_13
0111_8,0178_7
0144_10,0081_15
0026_6,0070_13
0063_6,0178_7
0044_10,0070_13
0200_13,0081_15
0135_10,0081_15
0160_11,0070_13
0169_8,0178_7
0194_8,0178_7
0085_5,0081_15
0148_10,0070_13
0146_15,0081_15
0104_4,0178_7
0015_9,0070_13
0043_3,0081_15
0167_7,0178_7
0122_7,0070_13
0070_14,0070_13
0108_9,0178_7
0081_12,0081_15
0003_11,0146_13
0143_6,0081_15
0056_10,0081_15
0106_6,0178_7
0031_8,0081_15
0156_10,0081_15
0120_5,0178_7
0074_8,0070_13
0165_5,0081_15
0106_4,0178_7
0017_9,0070_13
0056_12,0081_15
0052_9,0081_15
0165_7,0070_13
0120_7,0070_13
0156_12,0070_13
0081_10,0178_7
0196_8,0070_13
0087_5,0178_7
0019_6,0081_15
0141_6,0081_15
0104_6,0178_7
0146_17,0070_13
0098_19,0070_13
0033_8,0081_15
0122_5,0070_13
0076_8,0070_13
0167_5,0178_7
0048_12,0070_13
0148_12,0070_13
0085_7,0081_15
0078_7,0178_7
0160_13,0081_15
0119_3,0178_7
0135_12,0081_15
0200_11,0081_15
0124_3,0178_7
0144_12,0070_13
0044_12,0081_15
0172_9,0081_15
0063_4,0178_7
0137_9,0081_15
0026_4,0081_15
0011_13,0070_13
0193_10,0070_13
0181_6,0178_7
0139_6,0070_13
0139_12,0070_13
0039_12,0070_13
0062_16,0070_13
0047_5,0178_7
0156_8,0070_13
0061_6,0178_7
0153_22,0070_13
0183_4,0081_15
0158_7,0178_7
0158_6,0178_7
0183_5,0081_15
0153_23,0081_15
0156_9,0070_13
0047_4,0178_7
0039_13,0070_13
0062_17,0070_13
0139_13,0070_13
0139_7,0070_13
0058_3,0178_7
0111_12,0178_7
0181_7,0070_13
0011_12,0178_7
0172_8,0081_15
0044_13,0081_15
0026_5,0081_15
0137_8,0081_15
0000_6,0081_15
0144_13,0070_13
0135_13,0178_7
0200_10,0178_7
0160_12,0081_15
0078_6,0178_7
0148_13,0070_13
0085_6,0081_15
0048_13,0178_7
0033_9,0081_15
0167_4,0178_7
0141_7,0081_15
0098_18,0070_13
0146_16,0144_11
0019_7,0081_15
0081_11,0178_7
0165_6,0081_15
0156_13,0070_13
0120_6,0178_7
0017_8,0178_7
0052_8,0178_7
0056_13,0070_13
0017_14,0070_13
0117_14,0081_15
0191_8,0178_7
0142_15,0070_13
0055_9,0081_15
0144_4,0081_15
0119_11,0070_13
0010_21,0178_7
0127_7,0070_13
0046_3,0178_7
0162_7,0178_7
0031_10,0144_11
0131_10,0070_13
0038_5,0081_15
0064_11,0070_13
0085_12,0081_15
0185_12,0081_15
0082_7,0070_13
0000_18,0081_15
0052_10,0178_7
0009_14,0070_13
0160_5,0070_13
0071_8,0178_7
0152_10,0070_13
0109_14,0070_13
0034_8,0081_15
0155_19,0070_13
0105_14,0070_13
0157_20,0178_7
0186_6,0178_7
0189_12,0070_13
0042_7,0070_13
0021_4,0178_7
0130_9,0070_13
0150_15,0200_15
0175_9,0178_7
0123_10,0070_13
0023_10,0081_15
0176_11,0081_15
0009_8,0081_15
0015_11,0081_15
0097_12,0178_7
0140_10,0178_7
0066_6,0178_7
0023_6,0070_13
0040_10,0178_7
0068_11,0178_7
0166_14,0070_13
0068_9,0070_13
0166_15,0070_13
0068_8,0178_7
0068_10,0070_13
0142_3,0178_7
0066_7,0070_13
0023_7,0070_13
0040_4,0178_7
0140_11,0178_7
0151_9,0070_13
0184_5,0178_7
0097_13,0070_13
0015_10,0081_15
0118_4,0178_7
0009_9,0081_15
0023_11,0081_15
0188_8,0081_15
0099_5,0178_7
0123_11,0070_13
0130_8,0081_15
0021_5,0081_15
0175_8,0178_7
0064_5,0081_15
0150_14,0081_15
0042_6,0070_13
0189_13,0070_13
0157_21,0070_13
0087_16,0070_13
0105_15,0081_15
0059_5,0070_13
0071_9,0070_13
0160_4,0081_15
0155_18,0178_7
0034_9,0081_15
0009_15,0070_13
0146_7,0178_7
0185_13,0081_15
0155_24,0070_13
0000_19,0070_13
0085_13,0070_13
0064_10,0081_15
0038_4,0081_15
0164_10,0070_13
0131_11,0070_13
0031_11,0081_15
0127_6,0070_13
0162_6,0070_13
0055_8,0081_15
0142_14,0178_7
0010_20,0081_15
0119_10,0178_7
0117_15,0081_15
0191_9,0178_7
0080_4,0070_13
0017_15,0070_13
0017_17,0070_13
0073_9,0081_15
0127_4,0178_7
0010_22,0081_15
0142_16,0178_7
0131_13,0070_13
0064_12,0081_15
0200_7,0081_15
0185_11,0081_15
0180_3,0178_7
0085_11,0081_15
0146_5,0178_7
0057_8,0178_7
0012_8,0070_13
0052_13,0081_15
0138_3,0178_7
0059_7,0070_13
0186_5,0178_7
0157_23,0178_7
0087_14,0178_7
0140_3,0178_7
0064_7,0081_15
0189_11,0081_15
0042_4,0178_7
0123_13,0081_15
0176_12,0070_13
0118_6,0178_7
0097_11,0178_7
0184_7,0178_7
0015_12,0070_13
0132_8,0070_13
0023_5,0070_13
0040_13,0178_7
0199_14,0070_13
0140_13,0081_15
0040_6,0178_7
0068_12,0178_7
0068_13,0070_13
0140_12,0081_15
0040_12,0178_7
0132_9,0081_15
0177_9,0178_7
0199_15,0081_15
0097_10,0081_15
0184_6,0178_7
0118_7,0081_15
0176_13,0070_13
0123_12,0081_15
0116_8,0081_15
0042_5,0070_13
0189_10,0081_15
0064_6,0081_15
0087_15,0070_13
0097_9,0178_7
0157_22,0070_13
0059_6,0070_13
0057_9,0081_15
0012_9,0070_13
0085_10,0081_15
0185_10,0081_15
0064_13,0081_15
0031_12,0070_13
0131_12,0070_13
0010_23,0081_15
0142_17,0081_15
0162_5,0070_13
0073_8,0070_13
0127_5,0070_13
0017_16,0081_15
0112_8,0178_7
0046_5,0081_15
0142_13,0178_7
0117_12,0081_15
0080_3,0081_15
0182_4,0178_7
0017_12,0070_13
0159_7,0081_15
0044_7,0178_7
0109_12,0070_13
0052_16,0081_15
0009_12,0070_13
0173_9,0178_7
0185_14,0081_15
0155_23,0070_13
0174_12,0081_15
0138_6,0081_15
0150_13,0081_15
0166_5,0178_7
0077_8,0144_11
0032_8,0081_15
0187_11,0081_15
0105_12,0081_15
0087_11,0070_13
0176_17,0070_13
0079_7,0178_7
0123_16,0081_15
0178_12,0178_7
0199_11,0081_15
0053_9,0178_7
0040_16,0178_7
0016_9,0070_13
0140_16,0070_13
0164_7,0081_15
0097_14,0081_15
0066_12,0081_15
0166_12,0070_13
0199_7,0178_7
0199_6,0081_15
0166_13,0070_13
0066_13,0070_13
0184_3,0178_7
0097_15,0081_15
0099_10,0070_13
0164_6,0081_15
0142_5,0178_7
0053_8,0178_7
0199_10,0070_13
0016_8,0081_15
0040_17,0070_13
0099_3,0178_7
0176_16,0070_13
0079_6,0178_7
0087_10,0070_13
0105_13,0081_15
0187_10,0178_7
0032_9,0070_13
0123_4,0178_7
0105_7,0178_7
0150_12,0070_13
0140_7,0178_7
0021_12,0070_13
0174_13,0081_15
0185_15,0081_15
0155_22,0081_15
0173_8,0178_7
0062_5,0178_7
0009_13,0070_13
0109_13,0081_15
0159_6,0081_15
0200_3,0081_15
0017_13,0070_13
0117_13,0081_15
0144_3,0178_7
0142_12,0178_7
0046_4,0178_7
0157_9,0178_7
0010_24,0070_13
0142_10,0178_7
0171_8,0081_15
0046_6,0081_15
0010_18,0178_7
0017_11,0178_7
0182_7,0081_15
0117_11,0081_15
0048_9,0081_15
0131_15,0081_15
0146_3,0178_7
0062_7,0178_7
0009_11,0081_15
0052_15,0070_13
0109_11,0070_13
0180_5,0178_7
0155_20,0070_13
0174_11,0081_15
0138_5,0070_13
0021_10,0081_15
0166_6,0178_7
0150_10,0070_13
0014_8,0178_7
0157_19,0178_7
0084_4,0178_7
0187_12,0070_13
0176_14,0070_13
0178_11,0081_15
0123_15,0070_13
0140_15,0070_13
0075_9,0070_13
0164_4,0081_15
0030_9,0178_7
0040_15,0070_13
0199_12,0081_15
0086_6,0178_7
0166_11,0070_13
0109_8,0070_13
0066_11,0070_13
0068_14,0070_13
0033_10,0081_15
0088_9,0178_7
0088_8,0178_7
0066_10,0081_15
0109_9,0178_7
0166_10,0070_13
0086_7,0178_7
0040_14,0178_7
0199_13,0081_15
0140_14,0070_13
0078_10,0081_15
0178_10,0081_15
0123_14,0178_7
0079_5,0178_7
0176_15,0070_13
0157_24,0081_15
0087_13,0070_13
0084_5,0178_7
0051_9,0081_15
0150_11,0070_13
0140_4,0178_7
0014_9,0081_15
0105_4,0178_7
0166_7,0070_13
0021_11,0081_15
0138_4,0178_7
0029_9,0070_13
0174_10,0081_15
0155_21,0070_13
0185_16,0178_7
0000_20,0070_13
0109_10,0070_13
0044_5,0178_7
0009_10,0081_15
0062_6,0178_7
0052_14,0081_15
0131_14,0070_13
0159_5,0081_15
0117_10,0070_13
0010_19,0178_7
0182_6,0178_7
0017_10,0178_7
0010_25,0081_15
0142_11,0178_7
0134_4,0178_7
0159_8,0081_15
0048_5,0081_15
0155_10,0178_7
0044_8,0070_13
0155_5,0178_7
0173_6,0178_7
0055_10,0081_15
0000_11,0070_13
0193_3,0178_7
0091_4,0081_15
0082_12,0178_7
0180_9,0178_7
0029_4,0178_7
0173_14,0070_13
0126_15,0070_13
0157_15,0178_7
0105_9,0178_7
0014_4,0070_13
0032_7,0178_7
0077_7,0081_15
0059_10,0070_13
0084_8,0178_7
0171_11,0081_15
0124_10,0081_15
0040_19,0081_15
0053_6,0178_7
0164_8,0081_15
0149_15,0081_15
0112_11,0178_7
0109_4,0178_7
0134_15,0081_15
0088_5,0070_13
0199_8,0178_7
0034_15,0081_15
0034_14,0081_15
0134_14,0178_7
0088_4,0178_7
0149_14,0070_13
0112_10,0178_7
0164_9,0081_15
0075_4,0178_7
0030_4,0178_7
0040_18,0081_15
0016_7,0178_7
0124_11,0070_13
0168_4,0081_15
0171_10,0081_15
