idx,meci_type
0185_7,Type_1
0176_8,Type_1
0120_2,Type_1
0165_2,Type_2
0198_2,Type_1
0019_3,Type_2
0085_2,Type_2
0104_3,Type_1
0078_2,Type_1
0000_2,Type_2
0058_7,Type_1
0139_3,Type_1
0126_4,Type_1
0158_2,Type_1
0158_3,Type_1
0061_2,Type_2
0000_3,Type_2
0181_2,Type_1
0083_5,Type_1
0193_14,Type_1
0078_3,Type_1
0104_2,Type_1
0141_2,Type_2
0085_3,Type_2
0187_4,Type_1
0019_2,Type_2
0165_3,Type_2
0087_3,Type_1
0094_9,Type_1
0185_4,Type_1
0106_2,Type_1
0178_4,Type_1
0187_6,Type_1
0122_3,Type_1
0167_3,Type_1
0098_4,Type_2
0063_2,Type_1
0026_2,Type_2
0062_10,Type_1
0058_4,Type_1
0183_2,Type_2
0190_8,Type_2
0081_5,Type_1
0011_9,Type_1
0154_11,Type_2
0047_3,Type_1
0039_4,Type_1
0047_2,Type_1
0126_6,Type_1
0011_8,Type_1
0153_19,Type_1
0081_4,Type_1
0183_3,Type_2
0149_8,Type_1
0058_5,Type_1
0062_11,Type_1
0124_4,Type_1
0026_3,Type_2
0119_4,Type_1
0020_5,Type_1
0146_10,Type_1
0131_8,Type_1
0122_2,Type_1
0043_6,Type_2
0167_2,Type_1
0106_3,Type_1
0143_3,Type_2
0041_4,Type_1
0094_8,Type_1
0087_2,Type_1
0120_4,Type_1
0031_9,Type_2
0067_3,Type_2
0167_6,Type_1
0043_2,Type_2
0104_5,Type_1
0141_5,Type_2
0048_11,Type_1
0147_3,Type_1
0083_2,Type_1
0193_13,Type_1
0139_5,Type_1
0126_2,Type_1
0163_2,Type_1
0158_4,Type_1
0183_6,Type_2
0126_3,Type_1
0061_4,Type_1
0139_4,Type_1
0083_3,Type_1
0154_8,Type_2
0000_5,Type_2
0147_2,Type_1
0078_5,Type_1
0048_10,Type_1
0187_2,Type_1
0141_4,Type_2
0198_5,Type_1
0019_4,Type_2
0087_7,Type_1
0067_2,Type_2
0143_4,Type_2
0041_3,Type_1
0185_2,Type_1
0178_2,Type_1
0198_7,Type_1
0065_2,Type_2
0020_2,Type_1
0098_2,Type_2
0000_7,Type_2
0161_3,Type_2
0058_2,Type_1
0081_3,Type_1
0039_3,Type_1
0039_2,Type_1
0081_2,Type_1
0061_7,Type_1
0193_11,Type_1
0063_5,Type_1
0124_2,Type_1
0161_2,Type_2
0098_3,Type_2
0119_2,Type_1
0122_4,Type_1
0020_3,Type_1
0104_7,Type_1
0198_6,Type_1
0178_3,Type_1
0087_4,Type_1
0185_3,Type_1
0041_2,Type_1
0106_5,Type_2
0143_5,Type_2
0182_2,Type_1
0080_5,Type_1
0010_9,Type_1
0200_4,Type_2
0146_6,Type_1
0062_2,Type_1
0148_9,Type_1
0059_4,Type_1
0166_3,Type_1
0123_3,Type_1
0064_4,Type_1
0099_4,Type_1
0188_9,Type_1
0118_5,Type_1
0086_3,Type_1
0184_4,Type_1
0151_8,Type_2
0040_5,Type_1
0142_2,Type_1
0040_11,Type_1
0086_2,Type_1
0176_10,Type_1
0166_2,Type_1
0123_2,Type_1
0186_7,Type_1
0148_8,Type_1
0052_11,Type_1
0062_3,Type_1
0082_6,Type_2
0200_5,Type_2
0003_2,Type_1
0046_2,Type_1
0144_5,Type_1
0010_8,Type_1
0182_3,Type_1
0162_4,Type_1
0144_7,Type_1
0159_2,Type_2
0193_9,Type_1
0082_4,Type_2
0160_6,Type_2
0044_2,Type_1
0097_8,Type_1
0084_2,Type_1
0105_3,Type_1
0021_7,Type_1
0116_9,Type_2
0153_9,Type_1
0099_7,Type_1
0079_2,Type_1
0177_8,Type_1
0066_5,Type_2
0164_2,Type_2
0199_2,Type_2
0199_3,Type_2
0164_3,Type_2
0040_7,Type_1
0023_4,Type_1
0066_4,Type_2
0079_3,Type_1
0099_6,Type_1
0153_8,Type_1
0140_2,Type_1
0021_6,Type_1
0105_2,Type_1
0084_3,Type_1
0186_4,Type_1
0138_2,Type_1
0146_4,Type_1
0052_12,Type_1
0044_3,Type_1
0180_2,Type_1
0082_5,Type_2
0193_8,Type_1
0200_6,Type_2
0159_3,Type_2
0144_6,Type_1
0080_7,Type_1
0157_8,Type_1
0144_2,Type_2
0200_2,Type_2
0038_3,Type_1
0160_3,Type_2
0062_4,Type_1
0180_6,Type_1
0059_2,Type_1
0105_6,Type_1
0021_2,Type_2
0140_6,Type_1
0064_2,Type_1
0123_5,Type_1
0084_7,Type_1
0118_3,Type_1
0099_2,Type_1
0142_4,Type_1
0040_3,Type_1
0184_2,Type_1
0086_5,Type_1
0086_4,Type_1
0040_2,Type_1
0118_2,Type_1
0084_6,Type_1
0166_4,Type_1
0021_3,Type_2
0064_3,Type_1
0059_3,Type_1
0180_7,Type_1
0044_6,Type_1
0160_2,Type_2
0038_2,Type_1
0182_5,Type_1
0080_2,Type_1
0112_9,Type_1
0134_8,Type_1
0162_2,Type_1
0127_2,Type_1
0159_4,Type_2
0044_4,Type_1
0155_9,Type_1
0082_2,Type_2
0029_8,Type_1
0123_6,Type_1
0042_2,Type_1
0140_5,Type_1
0051_8,Type_1
0105_5,Type_1
0105_11,Type_1
0087_12,Type_1
0186_3,Type_1
0079_4,Type_1
0023_3,Type_1
0066_3,Type_2
0142_7,Type_1
0199_4,Type_2
0199_5,Type_2
0023_2,Type_1
0142_6,Type_1
0066_2,Type_1
0164_5,Type_2
0075_8,Type_1
0030_8,Type_1
0186_2,Type_1
0105_10,Type_1
0157_18,Type_1
0123_7,Type_1
0042_3,Type_1
0082_3,Type_2
0180_4,Type_1
0155_8,Type_1
0146_2,Type_1
0048_8,Type_2
0162_3,Type_1
0046_7,Type_1
0127_3,Type_1
0134_9,Type_1
0171_9,Type_2
0073_3,Type_1
0157_7,Type_1
0112_7,Type_1
0171_4,Type_2
0010_14,Type_1
0057_2,Type_1
0012_2,Type_1
0026_15,Type_2
0140_9,Type_1
0051_4,Type_1
0116_3,Type_2
0153_3,Type_2
0097_2,Type_1
0168_5,Type_1
0079_8,Type_1
0071_11,Type_2
0016_6,Type_1
0132_2,Type_2
0177_2,Type_1
0075_5,Type_1
0030_5,Type_1
0199_9,Type_2
0109_5,Type_1
0132_3,Type_2
0177_3,Type_1
0053_7,Type_1
0071_10,Type_2
0079_9,Type_1
0097_3,Type_1
0032_6,Type_1
0116_2,Type_2
0153_2,Type_2
0051_5,Type_1
0157_14,Type_1
0029_5,Type_1
0193_2,Type_1
0057_3,Type_1
0155_11,Type_1
0155_4,Type_1
0048_4,Type_2
0171_5,Type_2
0157_6,Type_1
0073_2,Type_1
0171_7,Type_2
0157_4,Type_1
0191_2,Type_1
0048_6,Type_2
0129_2,Type_1
0173_5,Type_1
0155_6,Type_1
0071_2,Type_1
