idx,meci_type
0041_6,0236_15
0165_2,0120_2
0025_12,0236_15
0245_10,0263_14
0019_3,0120_2
0187_5,0133_8
0085_2,0120_2
0020_7,0120_2
0141_3,0120_2
0152_9,0120_2
0006_4,0236_15
0098_7,0236_15
0135_17,0236_15
0205_3,0120_2
0216_9,0263_14
0083_4,0120_2
0011_16,0236_15
0181_3,0236_15
0045_2,0067_5
0124_6,0236_15
0000_2,0236_15
0147_5,0236_15
0260_6,0198_2
0203_5,0263_14
0037_9,0120_2
0061_3,0198_2
0259_2,0198_2
0145_7,0120_2
0024_3,0067_5
0212_14,0120_2
0158_2,0198_2
0201_7,0236_15
0247_15,0273_11
0129_12,0067_5
0201_6,0129_13
0247_14,0065_7
0227_5,0263_14
0212_15,0120_2
0145_6,0236_15
0061_2,0198_2
0024_2,0067_5
0037_8,0236_15
0203_4,0263_14
0260_7,0236_15
0102_4,0067_5
0147_4,0236_15
0045_3,0120_2
0000_3,0236_15
0124_7,0263_14
0111_17,0236_15
0181_2,0236_15
0083_5,0236_15
0253_8,0236_15
0216_8,0120_2
0205_2,0120_2
0240_2,0198_2
0098_6,0133_8
0135_16,0158_3
0043_5,0067_5
0152_8,0120_2
0006_5,0236_15
0020_6,0120_2
0104_2,0236_15
0065_6,0236_15
0141_2,0120_2
0187_4,0133_8
0019_2,0120_2
0025_13,0236_15
0120_3,0120_2
0004_7,0004_6
0165_3,0120_2
0263_15,0236_15
0067_4,0067_5
0133_9,0263_14
0022_4,0120_2
0185_6,0133_8
0236_14,0133_8
0236_16,0236_15
0094_9,0236_15
0185_4,0067_5
0041_5,0067_5
0004_20,0120_2
0004_5,0198_2
0115_8,0120_2
0067_6,0158_3
0143_2,0198_2
0025_11,0263_14
0069_9,0067_5
0245_13,0263_14
0214_8,0236_15
0207_2,0236_15
0242_2,0198_2
0187_6,0120_2
0122_3,0198_2
0046_11,0120_2
0043_7,0120_2
0174_9,0133_8
0065_4,0236_15
0020_4,0133_8
0135_14,0120_2
0189_9,0120_2
0266_3,0133_8
0008_8,0120_2
0111_15,0236_15
0011_15,0133_8
0083_7,0120_2
