idx,meci_type
0648_2,H_Dissociation
0470_3,Ethylidene_Bent
0299_2,CC_Dissociation
0435_3,Ethylidene_Bent
0572_4,Ethylidene_Bent
0022_5,Ethylidene_Bent
0861_5,Ethylidene_Bent
0318_3,H_Dissociation
0120_2,Twist
0926_2,Twist
0771_3,Twist
0549_2,Ethylidene_Straight
0734_3,Ethylidene_Straight
0636_4,Ethylidene_Bent
0673_4,Ethylidene_Straight
0221_2,Ethylidene_Straight
0019_3,Twist
0264_2,Twist
0013_13,CC_Dissociation
0513_5,Ethylidene_Bent
0187_5,Ethylidene_Bent
0454_2,Ethylidene_Bent
0085_2,Ethylidene_Straight
0411_2,Twist
0629_3,Ethylidene_Straight
0535_6,HH_Dissociation
0947_3,Twist
0104_3,Twist
0902_3,H_Dissociation
0141_3,H_Dissociation
0590_3,Twist
0379_2,Twist
0845_4,Twist
0006_4,Ethylidene_Straight
0612_5,Ethylidene_Bent
0384_2,Twist
0755_2,Ethylidene_Straight
0710_2,CC_Dissociation
0205_3,Twist
0078_2,Ethylidene_Straight
0691_3,Twist
0240_3,Ethylidene_Bent
0939_5,Ethylidene_Bent
0307_4,Ethylidene_Bent
0885_4,Ethylidene_Straight
0181_3,Ethylidene_Bent
0768_2,Twist
0550_3,Ethylidene_Bent
0494_2,Twist
0806_2,Twist
0045_2,Twist
0238_3,Twist
0843_2,H_Dissociation
0000_2,Twist
0013_8,CC_Dissociation
0102_5,Ethylidene_Straight
0382_4,Ethylidene_Bent
0753_4,Twist
0651_3,Twist
0469_2,H_Dissociation
0280_3,Twist
0344_2,Twist
0795_2,CC_Dissociation
0301_2,Twist
0139_3,Twist
0878_4,Ethylidene_Bent
0531_2,Twist
0709_3,H_Dissociation
0574_2,Tilted_saddle
0061_3,Ethylidene_Bent
0822_3,Ethylidene_Straight
0688_2,Ethylidene_Bent
0259_2,Ethylidene_Straight
0867_3,Twist
0408_3,Twist
0630_2,Ethylidene_Bent
0675_2,H_Dissociation
0777_5,Twist
0262_4,Ethylidene_Straight
0158_2,Ethylidene_Bent
0589_2,Ethylidene_Bent
0360_3,Twist
0325_3,Twist
0360_2,Twist
0589_3,Ethylidene_Straight
0158_3,HH_Dissociation
0325_2,H_Dissociation
0777_4,Twist
0630_3,Ethylidene_Straight
0408_2,Twist
0675_3,H_Dissociation
0259_3,Ethylidene_Straight
0688_3,Ethylidene_Bent
0822_2,Ethylidene_Bent
0061_2,Ethylidene_Bent
0867_2,Twist
0024_2,H_Dissociation
0709_2,H_Dissociation
0574_3,Ethylidene_Bent
0203_4,Twist
0344_3,Twist
0139_2,Twist
0301_3,Twist
0614_2,Twist
0280_2,Twist
0469_3,H_Dissociation
0651_2,Twist
0382_5,Ethylidene_Straight
0102_4,Twist
0941_4,Ethylidene_Bent
0013_9,CC_Dissociation
0045_3,Twist
0806_3,Ethylidene_Bent
0494_3,Twist
0000_3,Twist
0238_2,CC_Dissociation
0515_2,H_Dissociation
0550_2,H_Dissociation
0768_3,Twist
0181_2,H_Dissociation
0939_4,Ethylidene_Straight
0307_5,Ethylidene_Bent
0205_2,Twist
0240_2,H_Dissociation
0691_2,Twist
0078_3,H_Dissociation
0384_3,Twist
0710_3,CC_Dissociation
0528_2,Twist
0612_4,Ethylidene_Bent
0006_5,Ethylidene_Bent
0845_5,Twist
0863_6,Ethylidene_Straight
0104_2,Ethylidene_Bent
0947_2,Twist
0379_3,Twist
0590_2,Twist
0141_2,H_Dissociation
0902_2,H_Dissociation
0085_3,Twist
0454_3,Ethylidene_Straight
0629_2,Ethylidene_Straight
0513_4,Ethylidene_Bent
0013_12,CC_Dissociation
0187_4,Ethylidene_Bent
0019_2,Twist
0264_3,Twist
0636_5,Ethylidene_Bent
0673_5,Ethylidene_Bent
0549_3,H_Dissociation
0771_2,Twist
0198_3,H_Dissociation
0734_2,Twist
0120_3,Ethylidene_Bent
0318_2,H_Dissociation
0926_3,Twist
0165_3,Ethylidene_Bent
0824_4,Ethylidene_Straight
0861_4,Ethylidene_Straight
0022_4,Ethylidene_Bent
0299_3,CC_Dissociation
0470_2,Ethylidene_Straight
0648_3,Ethylidene_Bent
0435_2,H_Dissociation
0087_3,Twist
0456_3,Twist
0881_3,Twist
0413_3,Ethylidene_Bent
0511_4,Ethylidene_Bent
0490_5,Ethylidene_Straight
0956_8,Ethylidene_Straight
