idx,meci_type
0648_2,H Dissociation
0470_3,Ethylidene
0299_2,CC Dissociation
0435_3,Ethylidene
0572_4,Ethylidene
0022_5,Ethylidene
0861_5,Ethylidene
0318_3,H Dissociation
0120_2,Twist
0165_2,H Migration Saddle
0926_2,Twist
0198_2,Ethylidene
0771_3,Twist
0549_2,Ethylidene
0734_3,Ethylidene
0636_4,Ethylidene
0673_4,Ethylidene
0221_2,Ethylidene
0019_3,Twist
0264_2,Twist
0013_13,CC Dissociation
0513_5,Ethylidene
0187_5,Ethylidene
0454_2,Ethylidene
0085_2,Ethylidene
0411_2,Twist
0629_3,Ethylidene
0535_6,HH Dissociation
0947_3,Twist
0104_3,Twist
0902_3,H Dissociation
0141_3,H Dissociation
0590_3,Twist
0379_2,Twist
0845_4,Twist
0006_4,Ethylidene
0612_5,Ethylidene
0384_2,Twist
0755_2,Ethylidene
0710_2,CC Dissociation
0205_3,Twist
0078_2,Ethylidene
0691_3,Twist
0240_3,Ethylidene
0939_5,Ethylidene
0307_4,Ethylidene
0885_4,Ethylidene
0181_3,Ethylidene
0768_2,Twist
0550_3,Ethylidene
0494_2,Twist
0806_2,Twist
0045_2,Twist
0238_3,Twist
0843_2,H Dissociation
0000_2,Twist
0013_8,CC Dissociation
0102_5,Ethylidene
0382_4,Ethylidene
0753_4,Twist
0614_3,H Migration Saddle
0651_3,Twist
0469_2,H Dissociation
0280_3,Twist
0344_2,Twist
0795_2,CC Dissociation
0301_2,Twist
0139_3,Twist
0878_4,Ethylidene
0531_2,Twist
0709_3,H Dissociation
0574_2,H Migration Saddle
0061_3,Ethylidene
0822_3,Ethylidene
0688_2,Ethylidene
0259_2,Ethylidene
0867_3,Twist
0408_3,Twist
0630_2,Ethylidene
0675_2,H Dissociation
0777_5,Twist
0262_4,Ethylidene
0158_2,Ethylidene
0589_2,Ethylidene
0360_3,Twist
0325_3,Twist
0360_2,Twist
0589_3,Ethylidene
0158_3,HH Dissociation
0325_2,H Dissociation
0777_4,Twist
0630_3,Ethylidene
0408_2,Twist
0675_3,H Dissociation
0259_3,Ethylidene
0688_3,Ethylidene
0822_2,Ethylidene
0061_2,Ethylidene
0867_2,Twist
0024_2,H Dissociation
0709_2,H Dissociation
0574_3,Ethylidene
0203_4,Twist
0344_3,Twist
0139_2,Twist
0301_3,Twist
0614_2,Twist
0280_2,Twist
0469_3,H Dissociation
0651_2,Twist
0382_5,Ethylidene
0102_4,Twist
0941_4,Ethylidene
0013_9,CC Dissociation
0045_3,Twist
0806_3,Ethylidene
0494_3,Twist
0000_3,Twist
0238_2,CC Dissociation
0515_2,H Dissociation
0550_2,H Dissociation
0768_3,Twist
0181_2,H Dissociation
0939_4,Ethylidene
0307_5,Ethylidene
0205_2,Twist
0240_2,H Dissociation
0691_2,Twist
0078_3,H Dissociation
0384_3,Twist
0710_3,CC Dissociation
0528_2,Twist
0612_4,Ethylidene
0006_5,Ethylidene
0845_5,Twist
0863_6,Ethylidene
0104_2,Ethylidene
0947_2,Twist
0379_3,Twist
0590_2,Twist
0141_2,H Dissociation
0902_2,H Dissociation
0085_3,Twist
0454_3,Ethylidene
0629_2,Ethylidene
0513_4,Ethylidene
0013_12,CC Dissociation
0187_4,Ethylidene
0019_2,Twist
0264_3,Twist
0636_5,Ethylidene
0673_5,Ethylidene
0549_3,H Dissociation
0771_2,Twist
0198_3,H Dissociation
0734_2,Twist
0120_3,Ethylidene
0318_2,H Dissociation
0926_3,Twist
0165_3,Ethylidene
0824_4,Ethylidene
0861_4,Ethylidene
0022_4,Ethylidene
0299_3,CC Dissociation
0470_2,Ethylidene
0648_3,Ethylidene
0435_2,H Dissociation
0087_3,Twist
0456_3,Twist
0881_3,Twist
0413_3,Ethylidene
0511_4,Ethylidene
0490_5,Ethylidene
0956_8,Ethylidene
0106_2,Twist
0945_2,Ethylidene
0592_2,Twist
0143_2,Twist
0900_2,Ethylidene
0757_3,Twist
0386_3,Ethylidene
0712_3,Ethylidene
0610_4,Ethylidene
0791_5,Ethylidene
0207_2,H Migration Saddle
0242_2,Twist
0693_2,Ethylidene
0839_3,Twist
0535_5,H Dissociation
0399_4,Ethylidene
0472_2,Ethylidene
0013_10,CC Dissociation
0437_2,H Dissociation
0513_6,Ethylidene
0122_3,Ethylidene
0006_7,Ethylidene
0924_3,Ethylidene
0826_4,H Dissociation
0863_4,Ethylidene
0020_4,Twist
0634_5,Ethylidene
0773_2,CC Dissociation
0736_2,Ethylidene
