IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3,meci_type
0000_10,2,1,-230.35039391,-230.34933908,-230.23623865,Type_2
0000_11,2,1,-230.34500174,-230.33412193,-230.20918473,Type_1
0000_12,2,1,-230.37299516,-230.35853147,-230.21856415,Type_1
0000_13,2,1,-230.32691162,-230.32349722,-230.2110879,Type_2
0000_14,2,1,-230.3561599,-230.35588112,-230.24118651,Type_2
0000_15,2,1,-230.33671839,-230.32875698,-230.23544836,Type_1
0000_16,2,1,-230.31130306,-230.31120193,-230.16880861,Type_1
0000_17,2,1,-230.32667758,-230.32413313,-230.18375195,Type_1
0000_18,2,1,-230.33083042,-230.32837561,-230.21471274,Type_2
0000_19,2,1,-230.35488794,-230.35130446,-230.23882045,Type_1
0000_20,2,1,-230.32906222,-230.32889443,-230.25837466,Type_1
0000_4,2,1,-230.351196,-230.34464381,-230.24974874,Type_2
0000_6,2,1,-230.34943446,-230.33853004,-230.22224115,Type_2
0000_9,2,1,-230.3686394,-230.35515398,-230.24589271,Type_2
0003_10,2,1,-230.29107087,-230.28647043,-230.16610496,Double_H
0003_11,2,1,-230.31086338,-230.3092884,-230.18175554,Double_H
0008_3,2,1,-230.34094987,-230.33686124,-230.2384708,Type_3
0008_4,2,1,-230.35682517,-230.35447676,-230.25873645,Type_3
0009_10,2,1,-230.34284479,-230.34224083,-230.22406549,Type_2
0009_11,2,1,-230.33186984,-230.32853587,-230.23528915,Type_2
0009_12,2,1,-230.35110117,-230.34681636,-230.22477853,Type_1
0009_13,2,1,-230.36859076,-230.36423376,-230.24193621,Type_1
0009_14,2,1,-230.34667094,-230.33823333,-230.22763405,Type_1
0009_15,2,1,-230.33500084,-230.33291219,-230.24319864,Type_1
0009_3,2,1,-230.3587543,-230.35252184,-230.22475736,Type_1
0009_4,2,1,-230.32713503,-230.32356505,-230.20583603,Type_1
0009_8,2,1,-230.34415141,-230.3413834,-230.24877256,Type_2
0009_9,2,1,-230.33155223,-230.32985566,-230.22547971,Type_2
0010_10,2,1,-230.35244007,-230.3404108,-230.26263923,Type_3
0010_11,2,1,-230.31482336,-230.31384254,-230.22841037,Type_3
0010_12,2,1,-230.34022359,-230.33265742,-230.22019007,Type_3
0010_15,2,1,-230.326997,-230.32097326,-230.19829579,Type_1
0010_16,2,1,-230.31256993,-230.30786244,-230.17788552,Type_1
0010_17,2,1,-230.34955406,-230.33590522,-230.21942064,Type_3
0010_18,2,1,-230.34696522,-230.33471986,-230.2540857,Type_3
0010_19,2,1,-230.33016945,-230.31199029,-230.25782749,Type_3
0010_20,2,1,-230.3071491,-230.29390225,-230.22073434,Type_2
0010_21,2,1,-230.3379298,-230.33033137,-230.25145626,Type_3
0010_22,2,1,-230.32664407,-230.32044968,-230.22123913,Type_2
0010_23,2,1,-230.32650823,-230.31916688,-230.22927786,Type_2
0010_24,2,1,-230.32802465,-230.3206551,-230.19954569,Type_1
0010_25,2,1,-230.31502984,-230.31401958,-230.20420442,Type_2
0010_3,2,1,-230.34856569,-230.34178394,-230.24248759,Type_1
0010_4,2,1,-230.30328668,-230.29693129,-230.18466104,Type_1
0010_5,2,1,-230.30861066,-230.3058701,-230.24463541,Type_2
0011_10,2,1,-230.37451875,-230.36993301,-230.25413412,Type_3
0011_11,2,1,-230.37739224,-230.36688234,-230.26784817,Type_1
0011_12,2,1,-230.35149484,-230.34516558,-230.26156625,Type_3
0011_13,2,1,-230.35795002,-230.35064199,-230.23639153,Type_1
0011_14,2,1,-230.35524596,-230.35442633,-230.24031685,Type_1
0011_15,2,1,-230.36541894,-230.36449301,-230.23478663,Type_1
0011_16,2,1,-230.37022798,-230.36494314,-230.24587012,Type_2
0011_4,2,1,-230.35828752,-230.35011836,-230.24997148,Type_3
0011_6,2,1,-230.35886423,-230.35440117,-230.25253322,Type_3
0011_7,2,1,-230.34961489,-230.3449737,-230.25360059,Type_3
0012_3,2,1,-230.34078164,-230.33903141,-230.22726138,Type_3
0012_5,2,1,-230.3309,-230.32778841,-230.21029235,Type_3
0012_7,2,1,-230.35833638,-230.35295828,-230.23820217,Type_1
0012_8,2,1,-230.36744662,-230.35405046,-230.2229383,Type_1
0012_9,2,1,-230.3435178,-230.34214342,-230.20505259,Type_1
0013_10,2,1,-230.33979618,-230.33048656,-230.24002526,Type_3
0013_11,2,1,-230.325611,-230.31887677,-230.21022485,Type_1
0013_12,2,1,-230.34811742,-230.34480852,-230.21248261,Type_1
0013_13,2,1,-230.31325453,-230.31078535,-230.20291436,Type_1
0013_4,2,1,-230.35836135,-230.35144546,-230.25940634,Type_3
0013_8,2,1,-230.33331887,-230.33287854,-230.21617525,Type_1
0013_9,2,1,-230.3424815,-230.33552064,-230.22714896,Type_3
0014_10,2,1,-230.34159461,-230.34056161,-230.25432111,Type_2
0014_11,2,1,-230.30928321,-230.30887356,-230.21311759,Type_3
0014_3,2,1,-230.34960806,-230.34616115,-230.23404795,Type_3
0014_4,2,1,-230.34424738,-230.33273182,-230.25404275,Type_1
0014_5,2,1,-230.36923531,-230.36682057,-230.30269229,Type_1
0014_8,2,1,-230.33645339,-230.33285857,-230.23864562,Type_3
0014_9,2,1,-230.35433421,-230.35295102,-230.24463026,Type_2
0015_10,2,1,-230.27811788,-230.27762807,-230.18530441,Type_2
0015_11,2,1,-230.30454947,-230.30123779,-230.18930917,Type_2
0015_12,2,1,-230.31873473,-230.3173688,-230.19095735,Type_1
0015_5,2,1,-230.31702014,-230.31086974,-230.20506858,Type_3
0015_6,2,1,-230.32569315,-230.32491979,-230.20368817,Type_3
0015_7,2,1,-230.31405285,-230.30637634,-230.15421513,Type_1
0015_8,2,1,-230.32021357,-230.31963754,-230.19500729,Type_1
0015_9,2,1,-230.32298309,-230.31021674,-230.18898859,Type_1
0016_10,2,1,-230.36673008,-230.36517316,-230.26355773,Type_2
0016_11,2,1,-230.32666132,-230.32544917,-230.21668381,Type_2
0016_12,2,1,-230.36604284,-230.35964754,-230.25202838,Type_2
0016_13,2,1,-230.29930618,-230.29842242,-230.20977029,Type_1
0016_4,2,1,-230.34923406,-230.33614436,-230.26227572,Type_3
0016_7,2,1,-230.35559607,-230.35435924,-230.24731782,Type_3
0016_8,2,1,-230.34690129,-230.34077565,-230.22699342,Type_2
0016_9,2,1,-230.33092548,-230.31987826,-230.19407135,Type_1
0017_10,2,1,-230.31499301,-230.30550703,-230.20745239,Type_3
0017_11,2,1,-230.34114222,-230.33309789,-230.23084675,Type_3
0017_12,2,1,-230.35468387,-230.34808691,-230.21813768,Type_1
0017_13,2,1,-230.34555866,-230.3329657,-230.2255456,Type_1
0017_14,2,1,-230.35318413,-230.34602473,-230.23450392,Type_1
0017_15,2,1,-230.33910859,-230.33687919,-230.20853272,Type_1
