IC_Spawn,singlet_1,singlet_2,meci_type
0000_2,-77.73160608,-77.7244175,Twist
0000_3,-77.73092317,-77.72341644,Twist
0000_4,-77.71077805,-77.70508505,Twist
0000_5,-77.67823221,-77.67444249,Twist
0002_2,-77.73682009,-77.73635041,Ethylidene_Bent
0003_2,-77.78706288,-77.78673565,Ethylidene_Bent
0004_2,-77.71833897,-77.7123761,H_Dissociation
0004_3,-77.70425059,-77.70282578,H_Dissociation
0005_2,-77.71999681,-77.71259811,Twist
0005_3,-77.79135814,-77.78808898,Ethylidene_Bent
0005_4,-77.77949117,-77.77592931,Ethylidene_Bent
0005_5,-77.79833743,-77.79775744,Ethylidene_Bent
0006_2,-77.71114049,-77.7100387,Ethylidene_Straight
0006_3,-77.78644659,-77.7864437,Ethylidene_Straight
0006_4,-77.74012646,-77.73964179,Ethylidene_Straight
0006_5,-77.72015079,-77.72012499,Ethylidene_Bent
0006_6,-77.72123595,-77.71526026,Ethylidene_Bent
0006_7,-77.73562779,-77.73540947,Ethylidene_Straight
0006_8,-77.74925685,-77.74881394,Ethylidene_Bent
0007_2,-77.70387885,-77.70128359,H_Dissociation
0007_3,-77.69033713,-77.68885132,Ethylidene_Straight
0008_2,-77.70527815,-77.70432769,Ethylidene_Bent
0008_3,-77.7234878,-77.72112992,Twist
0009_2,-77.71450228,-77.70591247,CC_Dissociation
0010_2,-77.69819991,-77.69658831,Twist
0011_2,-77.72532908,-77.72528801,Twist
0011_3,-77.75622228,-77.7542113,Twist
0012_2,-77.70092295,-77.69737394,H_Dissociation
0012_3,-77.69285584,-77.68828855,Ethylidene_Bent
0013_10,-77.70275995,-77.70243313,CC_Dissociation
0013_11,-77.69471345,-77.69443,CC_Dissociation
0013_12,-77.69388869,-77.69354789,CC_Dissociation
0013_13,-77.6964043,-77.69609875,CC_Dissociation
0013_14,-77.68728303,-77.68697192,CC_Dissociation
0013_15,-77.70558093,-77.70523808,CC_Dissociation
0013_16,-77.69681245,-77.69648389,CC_Dissociation
0013_17,-77.69287097,-77.69251025,CC_Dissociation
0013_18,-77.69331084,-77.69294959,CC_Dissociation
0013_19,-77.69227666,-77.69197505,CC_Dissociation
0013_2,-77.65570711,-77.65543254,CC_Dissociation
0013_20,-77.69964327,-77.69932046,CC_Dissociation
0013_3,-77.6991219,-77.69880551,Twist
0013_4,-77.70303653,-77.70270008,CC_Dissociation
0013_5,-77.69411461,-77.69375799,CC_Dissociation
0013_6,-77.7050844,-77.70473036,CC_Dissociation
0013_7,-77.69131347,-77.69098835,CC_Dissociation
0013_8,-77.70289884,-77.7025941,CC_Dissociation
0013_9,-77.7046936,-77.70439127,CC_Dissociation
0014_2,-77.72343028,-77.72113213,H_Dissociation
0015_2,-77.71884737,-77.71255137,Twist
0015_3,-77.7839206,-77.78342001,Ethylidene_Bent
0015_4,-77.83286084,-77.83278247,Ethylidene_Bent
0016_2,-77.71168708,-77.70203015,H_Dissociation
0016_3,-77.72411587,-77.72240914,H_Dissociation
0017_2,-77.83747365,-77.83637488,Ethylidene_Straight
0017_3,-77.73982307,-77.7352613,Twist
0018_2,-77.70396254,-77.69931042,H_Dissociation
0018_3,-77.66553669,-77.65874365,Ethylidene_Bent
0018_4,-77.67665283,-77.66781524,Ethylidene_Bent
0019_2,-77.73771929,-77.73318349,Twist
0019_3,-77.76656318,-77.76496837,Twist
0020_2,-77.77548273,-77.77472871,Ethylidene_Straight
0020_3,-77.79972509,-77.79865551,Ethylidene_Bent
0020_4,-77.70357178,-77.69485979,Twist
0020_5,-77.75765341,-77.75411466,Twist
0021_2,-77.68442277,-77.67764531,H_Dissociation
0021_3,-77.78000908,-77.77724858,Ethylidene_Straight
0021_4,-77.79976713,-77.79729428,Ethylidene_Bent
0022_2,-77.74410398,-77.74009771,Twist
0022_3,-77.74511265,-77.73639967,Twist
0022_4,-77.79208711,-77.79091462,Ethylidene_Bent
0022_5,-77.70021806,-77.69529648,Ethylidene_Bent
0023_2,-77.78003311,-77.76881578,Twist
0023_3,-77.70018366,-77.69126119,H_Dissociation
0023_4,-77.76373203,-77.75373598,Ethylidene_Bent
0023_5,-77.74635046,-77.74513773,Ethylidene_Straight
0024_2,-77.70803444,-77.70632033,H_Dissociation
0025_2,-77.75036667,-77.74922526,Twist
0025_3,-77.79389995,-77.78864646,Twist
0026_2,-77.68343726,-77.68105809,Twist
0026_3,-77.76258484,-77.75567958,Ethylidene_Bent
0026_4,-77.80933794,-77.80832064,Ethylidene_Straight
0026_5,-77.81463634,-77.81267949,Ethylidene_Bent
0027_2,-77.73602382,-77.73072051,Ethylidene_Bent
0028_2,-77.68935512,-77.68806262,Ethylidene_Straight
0028_3,-77.70753751,-77.7024107,Ethylidene_Straight
0029_2,-77.6878781,-77.68190219,Twist
0029_3,-77.72876671,-77.72828716,Ethylidene_Straight
0029_4,-77.81123756,-77.80894216,Ethylidene_Bent
0030_2,-77.69703189,-77.69500434,Twist
0031_2,-77.74331055,-77.73255672,Twist
0031_3,-77.7670744,-77.75836149,Twist
0031_4,-77.77620948,-77.77356734,Twist
0032_2,-77.77540416,-77.76689576,Twist
0032_3,-77.74645223,-77.73734577,Twist
0032_4,-77.7590526,-77.7548012,0322_3
0033_2,-77.68943162,-77.68556132,Ethylidene_Straight
0033_3,-77.75444101,-77.75319206,Ethylidene_Bent
0034_2,-77.72951051,-77.72773345,Ethylidene_Straight
0035_2,-77.71964163,-77.717844,Ethylidene_Straight
0035_3,-77.72804322,-77.72491087,Ethylidene_Bent
0035_4,-77.76944462,-77.76869713,Ethylidene_Bent
0036_2,-77.72864986,-77.72691634,Twist
0036_3,-77.76798,-77.76730438,Twist
0037_2,-77.67313103,-77.66775172,H_Dissociation
0037_3,-77.68909119,-77.6868304,Twist
0038_2,-77.74488708,-77.74059933,Twist
0038_3,-77.81824499,-77.81616786,Twist
0039_2,-77.71336513,-77.70853926,Ethylidene_Straight
0039_3,-77.75175021,-77.74457732,Twist
0039_4,-77.7112873,-77.7032721,Ethylidene_Straight
0040_2,-77.7618661,-77.75577506,Twist
0040_3,-77.76543905,-77.76191038,Twist
0041_2,-77.70760864,-77.69923786,H_Dissociation
0041_3,-77.69894408,-77.6974603,H_Dissociation
0042_2,-77.77912945,-77.76762848,Twist
0042_3,-77.70470725,-77.7012234,Twist
0042_4,-77.71488849,-77.7071789,Twist
0043_2,-77.74832018,-77.74686787,Ethylidene_Straight
0043_3,-77.75642815,-77.75329898,Ethylidene_Bent
0044_2,-77.75008993,-77.74507227,Twist
0044_3,-77.76744852,-77.76465614,Twist
0044_4,-77.76204635,-77.75212403,Twist
0044_5,-77.75867734,-77.7515788,Twist
0045_2,-77.76157599,-77.76107533,Twist
0045_3,-77.73999037,-77.73794299,Twist
0046_2,-77.72042967,-77.7123658,Ethylidene_Straight
0046_3,-77.71746127,-77.71565613,Ethylidene_Bent
0047_2,-77.69353541,-77.69250933,Twist
0047_3,-77.7074901,-77.7026332,Twist
0048_2,-77.78812525,-77.7857133,Twist
0049_2,-77.70140482,-77.70079168,Twist
0049_3,-77.71368509,-77.70744631,Twist
0050_2,-77.72500269,-77.7236936,H_Dissociation
0051_2,-77.7123875,-77.70913875,Twist
0052_2,-77.73938056,-77.7293717,Twist
0052_3,-77.73844753,-77.73561898,Twist
0053_2,-77.71227674,-77.70998286,H_Dissociation
0054_2,-77.82618198,-77.82353299,Ethylidene_Bent
0054_3,-77.71995764,-77.71411833,Ethylidene_Straight
0054_4,-77.85764889,-77.85663206,Ethylidene_Bent
0055_3,-77.80362249,-77.80233613,Ethylidene_Bent
0055_4,-77.77431427,-77.77402848,Ethylidene_Straight
0056_2,-77.72745797,-77.72163067,Twist
0056_3,-77.7743819,-77.76764871,Twist
0056_4,-77.69013847,-77.68367753,Twist
0056_5,-77.70850134,-77.7016882,Twist
0056_6,-77.71696531,-77.71575212,Ethylidene_Bent
0057_2,-77.73125592,-77.72263428,Twist
0057_3,-77.78997175,-77.78128232,Twist
0057_4,-77.77512202,-77.77402945,Twist
0058_2,-77.72556875,-77.72006724,Ethylidene_Straight
