IC_Spawn,singlet_1,singlet_2
0000_2,-77.73160608,-77.7244175
0000_3,-77.73092317,-77.72341644
0000_4,-77.71077805,-77.70508505
0000_5,-77.67823221,-77.67444249
0002_2,-77.73682009,-77.73635041
0003_2,-77.78706288,-77.78673565
0004_2,-77.71833897,-77.7123761
0004_3,-77.70425059,-77.70282578
0005_2,-77.71999681,-77.71259811
0005_3,-77.79135814,-77.78808898
0005_4,-77.77949117,-77.77592931
0005_5,-77.79833743,-77.79775744
0006_2,-77.71114049,-77.7100387
0006_3,-77.78644659,-77.7864437
0006_4,-77.74012646,-77.73964179
0006_5,-77.72015079,-77.72012499
0006_6,-77.72123595,-77.71526026
0006_7,-77.73562779,-77.73540947
0006_8,-77.74925685,-77.74881394
0007_2,-77.70387885,-77.70128359
0007_3,-77.69033713,-77.68885132
0008_2,-77.70527815,-77.70432769
0008_3,-77.7234878,-77.72112992
0009_2,-77.71450228,-77.70591247
0010_2,-77.69819991,-77.69658831
0011_2,-77.72532908,-77.72528801
0011_3,-77.75622228,-77.7542113
0012_2,-77.70092295,-77.69737394
0012_3,-77.69285584,-77.68828855
0013_10,-77.70275995,-77.70243313
0013_11,-77.69471345,-77.69443
0013_12,-77.69388869,-77.69354789
0013_13,-77.6964043,-77.69609875
0013_14,-77.68728303,-77.68697192
0013_15,-77.70558093,-77.70523808
0013_16,-77.69681245,-77.69648389
0013_17,-77.69287097,-77.69251025
0013_18,-77.69331084,-77.69294959
0013_19,-77.69227666,-77.69197505
0013_2,-77.65570711,-77.65543254
0013_20,-77.69964327,-77.69932046
0013_3,-77.6991219,-77.69880551
0013_4,-77.70303653,-77.70270008
0013_5,-77.69411461,-77.69375799
0013_6,-77.7050844,-77.70473036
0013_7,-77.69131347,-77.69098835
0013_8,-77.70289884,-77.7025941
0013_9,-77.7046936,-77.70439127
0014_2,-77.72343028,-77.72113213
0015_2,-77.71884737,-77.71255137
0015_3,-77.7839206,-77.78342001
0015_4,-77.83286084,-77.83278247
0016_2,-77.71168708,-77.70203015
0016_3,-77.72411587,-77.72240914
0017_2,-77.83747365,-77.83637488
0017_3,-77.73982307,-77.7352613
0018_2,-77.70396254,-77.69931042
0018_3,-77.66553669,-77.65874365
0018_4,-77.67665283,-77.66781524
0019_2,-77.73771929,-77.73318349
0019_3,-77.76656318,-77.76496837
0020_2,-77.77548273,-77.77472871
0020_3,-77.79972509,-77.79865551
0020_4,-77.70357178,-77.69485979
0020_5,-77.75765341,-77.75411466
0021_2,-77.68442277,-77.67764531
0021_3,-77.78000908,-77.77724858
0021_4,-77.79976713,-77.79729428
0022_2,-77.74410398,-77.74009771
0022_3,-77.74511265,-77.73639967
0022_4,-77.79208711,-77.79091462
0022_5,-77.70021806,-77.69529648
0023_2,-77.78003311,-77.76881578
0023_3,-77.70018366,-77.69126119
0023_4,-77.76373203,-77.75373598
0023_5,-77.74635046,-77.74513773
0024_2,-77.70803444,-77.70632033
0025_2,-77.75036667,-77.74922526
0025_3,-77.79389995,-77.78864646
0026_2,-77.68343726,-77.68105809
0026_3,-77.76258484,-77.75567958
0026_4,-77.80933794,-77.80832064
0026_5,-77.81463634,-77.81267949
0027_2,-77.73602382,-77.73072051
0028_2,-77.68935512,-77.68806262
0028_3,-77.70753751,-77.7024107
0029_2,-77.6878781,-77.68190219
0029_3,-77.72876671,-77.72828716
0029_4,-77.81123756,-77.80894216
0030_2,-77.69703189,-77.69500434
0031_2,-77.74331055,-77.73255672
0031_3,-77.7670744,-77.75836149
0031_4,-77.77620948,-77.77356734
0032_2,-77.77540416,-77.76689576
0032_3,-77.74645223,-77.73734577
0032_4,-77.7590526,-77.7548012
0032_5,-77.75412251,-77.75209557
0033_2,-77.68943162,-77.68556132
0033_3,-77.75444101,-77.75319206
0034_2,-77.72951051,-77.72773345
0035_2,-77.71964163,-77.717844
0035_3,-77.72804322,-77.72491087
0035_4,-77.76944462,-77.76869713
0036_2,-77.72864986,-77.72691634
0036_3,-77.76798,-77.76730438
0037_2,-77.67313103,-77.66775172
0037_3,-77.68909119,-77.6868304
0038_2,-77.74488708,-77.74059933
0038_3,-77.81824499,-77.81616786
0039_2,-77.71336513,-77.70853926
0039_3,-77.75175021,-77.74457732
0039_4,-77.7112873,-77.7032721
0040_2,-77.7618661,-77.75577506
0040_3,-77.76543905,-77.76191038
0041_2,-77.70760864,-77.69923786
0041_3,-77.69894408,-77.6974603
0042_2,-77.77912945,-77.76762848
0042_3,-77.70470725,-77.7012234
0042_4,-77.71488849,-77.7071789
0043_2,-77.74832018,-77.74686787
0043_3,-77.75642815,-77.75329898
0044_2,-77.75008993,-77.74507227
0044_3,-77.76744852,-77.76465614
0044_4,-77.76204635,-77.75212403
0044_5,-77.75867734,-77.7515788
0045_2,-77.76157599,-77.76107533
0045_3,-77.73999037,-77.73794299
0046_2,-77.72042967,-77.7123658
0046_3,-77.71746127,-77.71565613
0047_2,-77.69353541,-77.69250933
0047_3,-77.7074901,-77.7026332
0048_2,-77.78812525,-77.7857133
0049_2,-77.70140482,-77.70079168
0049_3,-77.71368509,-77.70744631
0050_2,-77.72500269,-77.7236936
0051_2,-77.7123875,-77.70913875
0052_2,-77.73938056,-77.7293717
0052_3,-77.73844753,-77.73561898
0053_2,-77.71227674,-77.70998286
0054_2,-77.82618198,-77.82353299
0054_3,-77.71995764,-77.71411833
0054_4,-77.85764889,-77.85663206
0055_2,-77.75152327,-77.74438065
0055_3,-77.80362249,-77.80233613
0055_4,-77.77431427,-77.77402848
0056_2,-77.72745797,-77.72163067
0056_3,-77.7743819,-77.76764871
0056_4,-77.69013847,-77.68367753
0056_5,-77.70850134,-77.7016882
0056_6,-77.71696531,-77.71575212
0057_2,-77.73125592,-77.72263428
0057_3,-77.78997175,-77.78128232
0057_4,-77.77512202,-77.77402945
0058_2,-77.72556875,-77.72006724
0058_3,-77.7065061,-77.69978634
0058_4,-77.74465043,-77.74290519
0059_2,-77.69953817,-77.69084992
0059_3,-77.80250911,-77.80069335
0060_2,-77.80154523,-77.80103323
0060_3,-77.79740984,-77.79698741
0061_2,-77.75501037,-77.74956888
0061_3,-77.73167686,-77.73157447
0061_4,-77.74994374,-77.74986194
0061_5,-77.77162699,-77.77156429
0063_2,-77.69378116,-77.68722189
0063_3,-77.75045638,-77.74977198
0063_4,-77.70944424,-77.70646929
0063_5,-77.7873489,-77.7861598
0064_2,-77.71567901,-77.71315342
0064_3,-77.78931456,-77.78572569
0064_4,-77.69644749,-77.69377679
0065_2,-77.76565329,-77.7655605
0066_2,-77.69949506,-77.69109118
0066_3,-77.70222083,-77.69877989
0066_4,-77.76257093,-77.75774884
0067_2,-77.68039636,-77.67792721
0067_3,-77.70100579,-77.69828853
0068_2,-77.70878927,-77.70150725
0068_3,-77.71231202,-77.70961445
0069_2,-77.77748723,-77.77168497
0069_3,-77.76042291,-77.75769712
0070_2,-77.79825756,-77.7962262
0071_2,-77.71086882,-77.7063424
0071_3,-77.70523762,-77.70177943
0071_4,-77.70170223,-77.70046113
0072_2,-77.68598495,-77.68563981
0073_2,-77.79172615,-77.78912231
0073_3,-77.75667774,-77.75428921
0074_2,-77.68555714,-77.68424798
0075_10,-77.7063475,-77.70350806
0075_2,-77.72524024,-77.71712946
0075_3,-77.83992741,-77.83812403
0075_4,-77.79087487,-77.78730183
0075_5,-77.75838355,-77.75616472
0075_6,-77.72149807,-77.7198457
0075_7,-77.6886186,-77.68813739
0075_8,-77.74376168,-77.74325933
0075_9,-77.73219411,-77.73204907
0076_2,-77.70725874,-77.69858308
0076_3,-77.70004086,-77.69933274
0077_2,-77.75543301,-77.74443759
0077_3,-77.74381622,-77.73950726
0077_4,-77.74035393,-77.73295921
0078_2,-77.69896987,-77.69865038
0078_3,-77.728434,-77.72396968
0078_4,-77.72331532,-77.71741814
0078_5,-77.71110805,-77.70844112
0079_2,-77.71450086,-77.71121092
0079_3,-77.7020706,-77.70006529
0080_2,-77.71096805,-77.70879667
0080_3,-77.73290366,-77.73222527
0081_2,-77.74937514,-77.74076527
0081_3,-77.76754165,-77.76619802
0081_4,-77.77354976,-77.77313069
0082_2,-77.69629039,-77.69566037
0083_2,-77.72177469,-77.7128167
0083_3,-77.72064917,-77.71756818
0084_2,-77.72138498,-77.72126658
0084_3,-77.72105529,-77.71991227
0085_2,-77.70821036,-77.70402702
0085_3,-77.71809787,-77.71629674
0086_2,-77.71100554,-77.71023057
0086_3,-77.78038906,-77.77694088
0086_4,-77.7524848,-77.75174531
0087_2,-77.71109794,-77.70223117
0087_3,-77.6912747,-77.6900486
0088_2,-77.70036457,-77.69347742
0088_3,-77.73476317,-77.73263079
0088_4,-77.68532241,-77.68436007
0089_2,-77.71635296,-77.71095557
0089_3,-77.72304834,-77.71359925
0089_4,-77.69365696,-77.69272174
0090_2,-77.75673542,-77.75248902
0090_3,-77.80098555,-77.79659264
0091_2,-77.75389205,-77.7511496
0091_3,-77.73604745,-77.73344161
0091_4,-77.69052736,-77.68816036
0092_2,-77.79258479,-77.79172628
0092_3,-77.76837292,-77.76550264
0093_2,-77.67162276,-77.6694398
0094_2,-77.69869311,-77.68775327
0094_3,-77.76745455,-77.76593372
0095_2,-77.74646801,-77.74632124
0095_3,-77.75327624,-77.7528365
0095_4,-77.76139582,-77.75786821
0095_5,-77.80305201,-77.80112747
0095_6,-77.8161373,-77.81575922
0095_7,-77.76060095,-77.76024744
0096_2,-77.79858914,-77.79692012
0097_2,-77.78858789,-77.78689195
0097_3,-77.79544543,-77.78724417
0097_4,-77.77231114,-77.76595655
0097_5,-77.74066309,-77.73984372
0098_2,-77.76318597,-77.75776422
0098_3,-77.77404244,-77.77184696
0099_2,-77.7176403,-77.71044064
0099_3,-77.73868261,-77.73491183
0100_2,-77.77618979,-77.77495749
0100_3,-77.7212085,-77.72084207
0100_4,-77.71834918,-77.71766804
0101_2,-77.78449983,-77.78005639
0101_3,-77.74366145,-77.74191566
0102_2,-77.72288517,-77.71436395
0102_3,-77.70772634,-77.69756063
0102_4,-77.75421401,-77.746588
0102_5,-77.76228738,-77.76079753
0103_2,-77.6933637,-77.68917815
0103_3,-77.70445119,-77.69532852
0103_4,-77.73321023,-77.72996207
0103_5,-77.80011003,-77.79887845
0104_2,-77.75670192,-77.74674777
0104_3,-77.73435249,-77.72617627
0104_4,-77.73852128,-77.73832871
0105_2,-77.71158417,-77.70960137
0106_2,-77.76541821,-77.75962846
0106_3,-77.78756994,-77.78202939
0106_4,-77.80891277,-77.80653018
0107_2,-77.7538127,-77.74328391
0107_3,-77.73315463,-77.72822833
0107_4,-77.75320809,-77.75073772
0108_2,-77.70752186,-77.69883268
0108_3,-77.71191823,-77.70426233
0108_4,-77.72119069,-77.71833607
0108_5,-77.68783165,-77.68674458
0109_2,-77.79073405,-77.78830461
0110_2,-77.73356855,-77.72267568
0110_3,-77.76825359,-77.76785418
0110_4,-77.76899985,-77.76791095
0110_5,-77.78434179,-77.783656
0111_2,-77.77153618,-77.77017192
0112_2,-77.71995218,-77.71705653
0112_3,-77.72045229,-77.71841738
0113_2,-77.75971376,-77.75410183
0113_3,-77.79443178,-77.79379267
0114_2,-77.68104993,-77.68047734
0115_2,-77.68869925,-77.68157066
0115_3,-77.71105074,-77.70594451
0115_4,-77.77309858,-77.77082086
0116_2,-77.7579193,-77.75112054
0116_3,-77.77776042,-77.77444363
0117_2,-77.74519127,-77.74267099
