feature,reduction,n_components,linear_accuracy,trustworthiness,silhouette,pearson_dist_corr
SOAP,NONE,,0.9018867924528302,,,
SOAP,PCA,1.0,0.4641509433962264,0.8365933498957263,-0.1155548276102569,0.9425750984532147
SOAP,PCA,2.0,0.7056603773584905,0.9740775137333455,-0.032410723375831556,0.9946407950309945
SOAP,PCA,3.0,0.7584905660377359,0.998210220990882,-0.03283390433823579,0.99973506582422
SOAP,UMAP,1.0,0.2792452830188679,0.9695246188554028,-0.16703982651233673,0.7132504444971428
SOAP,UMAP,2.0,0.7132075471698113,0.9907600346278304,-0.03662954643368721,0.9211732923475474
SOAP,UMAP,3.0,0.7396226415094339,0.9937113200920904,-0.00868118368089199,0.9226526667556483
SOAP,TSNE,1.0,0.46037735849056605,0.9885213656314449,-0.1120608001947403,0.841589286534821
SOAP,TSNE,2.0,0.720754716981132,0.9938787939224978,-0.06361736357212067,0.9040758975543661
SOAP,TSNE,3.0,0.7471698113207547,0.9962986375769768,-0.04490673169493675,0.936351608909769
inv_eigenval,NONE,,0.8075471698113208,,,
inv_eigenval,PCA,1.0,0.5773584905660377,0.49820522047782356,-0.26018069491235873,-0.0028503328430357655
inv_eigenval,PCA,2.0,0.5962264150943396,0.5055815264282896,-0.09903369480924112,-0.006557885716883809
inv_eigenval,PCA,3.0,0.6377358490566037,0.5038486318682986,-0.06035013676484349,-0.011361912212988873
inv_eigenval,UMAP,1.0,0.36981132075471695,0.5027975991756379,-0.0851389467716217,0.009088291899323269
inv_eigenval,UMAP,2.0,0.35471698113207545,0.5058660642927237,-0.1057121753692627,0.008532986948550847
inv_eigenval,UMAP,3.0,0.39245283018867927,0.4995317727685933,-0.09221888333559036,0.004282623725985983
inv_eigenval,TSNE,1.0,0.6226415094339622,0.5002449673304631,-0.22056029736995697,0.0031437987011545742
inv_eigenval,TSNE,2.0,0.6641509433962264,0.49948309725419804,-0.008551239036023617,0.0008648963508007805
inv_eigenval,TSNE,3.0,0.7132075471698113,0.5048087881849149,-0.008247142657637596,-0.0031052380552797037
inverse_dist_matrix,NONE,,0.9207547169811321,,,
inverse_dist_matrix,PCA,1.0,0.6037735849056604,0.8264233469040898,-0.39154370496263724,0.9117959462009572
inverse_dist_matrix,PCA,2.0,0.6754716981132075,0.912767639454337,-0.226659283793296,0.9537676209166941
inverse_dist_matrix,PCA,3.0,0.8075471698113208,0.9468788271629025,-0.19146521571720962,0.9701263020395964
inverse_dist_matrix,UMAP,1.0,0.7094339622641509,0.925454837129243,-0.35914820432662964,0.7771039292307297
inverse_dist_matrix,UMAP,2.0,0.8452830188679246,0.9562595584229018,-0.2512982487678528,0.6766241354858125
inverse_dist_matrix,UMAP,3.0,0.8415094339622642,0.9681311232799897,-0.28594261407852173,0.6129466407447135
inverse_dist_matrix,TSNE,1.0,0.6226415094339622,0.959938432989512,-0.33196404576301575,0.8561833039294083
inverse_dist_matrix,TSNE,2.0,0.7132075471698113,0.9696472904011828,-0.19162489473819733,0.8512599899516081
inverse_dist_matrix,TSNE,3.0,0.8452830188679246,0.9770490324874372,-0.059800080955028534,0.6816123424324991
MBTR,NONE,,0.8603773584905661,,,
MBTR,PCA,1.0,0.4679245283018868,0.6888241423614272,-0.11888504716254363,0.6714727237702063
MBTR,PCA,2.0,0.7132075471698113,0.8277711152444832,-0.05182045639230515,0.7937872676733265
MBTR,PCA,3.0,0.7320754716981132,0.9126794223106706,-0.07994496051046672,0.8879164726404789
MBTR,UMAP,1.0,0.7509433962264151,0.8668406729592197,0.19641786813735962,0.3742196778482694
MBTR,UMAP,2.0,0.7849056603773585,0.9303655721902102,-0.10365467518568039,0.40938992232666815
MBTR,UMAP,3.0,0.8264150943396227,0.9528400746319348,-0.1199445053935051,0.412389891390397
MBTR,TSNE,1.0,0.7660377358490567,0.9415248674358208,-0.026955751702189445,0.48443078818525614
MBTR,TSNE,2.0,0.7509433962264151,0.9497072098437845,-0.057750243693590164,0.5829528465409782
MBTR,TSNE,3.0,0.769811320754717,0.9653429181317736,-0.06436039507389069,0.5533297806268559
flatten_cartesian,NONE,,0.9018867924528302,,,
flatten_cartesian,PCA,1.0,0.6226415094339622,0.8049531093508149,-0.3328892190697104,0.8245004481609273
flatten_cartesian,PCA,2.0,0.7886792452830189,0.88229104431235,-0.1922187890273664,0.8780385583094619
flatten_cartesian,PCA,3.0,0.8415094339622642,0.940589048876402,-0.1518628871340576,0.9420106105455344
flatten_cartesian,UMAP,1.0,0.8226415094339623,0.9320460336248373,-0.2722860872745514,0.5548102604445001
flatten_cartesian,UMAP,2.0,0.8716981132075472,0.957417076029477,-0.18641909956932068,0.6210455650427306
flatten_cartesian,UMAP,3.0,0.8830188679245283,0.9721613633768783,-0.1706855744123459,0.5899237296466371
flatten_cartesian,TSNE,1.0,0.6452830188679245,0.9646443493479823,-0.1240520179271698,0.7787409615591373
flatten_cartesian,TSNE,2.0,0.879245283018868,0.9719207028466793,-0.061427704989910126,0.7759383490935622
flatten_cartesian,TSNE,3.0,0.8754716981132076,0.9802720221294381,-0.016309410333633423,0.7025716874320871
