feature,reduction,n_components,linear_accuracy,trustworthiness,silhouette,pearson_dist_corr
SOAP,NONE,,0.8943396226415095,,,
SOAP,PCA,1.0,0.45660377358490567,0.8365933498957263,-0.10080398790761066,0.9478809561552886
SOAP,PCA,2.0,0.7018867924528301,0.9740775137333455,-0.003567194320000058,0.9941248032764685
SOAP,PCA,3.0,0.7622641509433963,0.998210220990882,-0.008535363778278989,0.9997102113824449
SOAP,PCA,4.0,0.7660377358490567,0.9994045053755516,0.0004991002372571643,0.9999158692630424
SOAP,PCA,5.0,0.7735849056603774,0.9997128607125876,0.003063860831976737,0.9999640119965179
SOAP,UMAP,1.0,0.27169811320754716,0.9695246188554028,-0.16671159863471985,0.7198884086290352
SOAP,UMAP,2.0,0.7132075471698113,0.9907600346278304,0.0018060947768390179,0.9165428100953954
SOAP,UMAP,3.0,0.7358490566037735,0.9937113200920904,0.019219892099499702,0.9197519159133786
SOAP,UMAP,4.0,0.7509433962264151,0.9938214469981747,0.013211683370172977,0.9173321575112982
SOAP,UMAP,5.0,0.7471698113207547,0.9939327879016489,0.02078743651509285,0.9224734312512761
SOAP,TSNE,1.0,0.44528301886792454,0.9885213656314449,-0.0666792243719101,0.8432933210866062
SOAP,TSNE,2.0,0.720754716981132,0.9938787939224978,-0.01433092076331377,0.9037559639241599
SOAP,TSNE,3.0,0.7509433962264151,0.9962986375769768,-0.009348969906568527,0.9338492957098249
inv_eigenval,NONE,,0.7773584905660378,,,
inv_eigenval,PCA,1.0,0.5924528301886792,0.49820522047782356,-0.2109788808156908,-0.009047692712465869
inv_eigenval,PCA,2.0,0.6264150943396226,0.5055815264282896,-0.059593531580852524,-0.00857569295883392
inv_eigenval,PCA,3.0,0.6415094339622641,0.5038486318682986,-0.035678214726410994,-0.01297413669750292
inv_eigenval,PCA,4.0,0.660377358490566,0.5078062633593909,0.03725289637975109,-0.010877417824371292
inv_eigenval,PCA,5.0,0.6867924528301886,0.5054484491905962,0.029654874142909682,-0.000292554613857714
inv_eigenval,UMAP,1.0,0.3622641509433962,0.5027975991756379,-0.0417066253721714,0.008009492112000464
inv_eigenval,UMAP,2.0,0.3660377358490566,0.5058660642927237,-0.07999454438686371,0.0013335442700092653
inv_eigenval,UMAP,3.0,0.32452830188679244,0.5050827469292369,-0.11210478842258453,-0.004478438045748372
inv_eigenval,UMAP,4.0,0.35471698113207545,0.4978546642791385,-0.1490960419178009,0.0050854297464033695
inv_eigenval,UMAP,5.0,0.3849056603773585,0.49825586151180246,-0.15846258401870728,0.0037235456072004713
inv_eigenval,TSNE,1.0,0.6339622641509434,0.5002449673304631,-0.14001893997192383,0.0017990268013185155
inv_eigenval,TSNE,2.0,0.6566037735849056,0.49948309725419804,-0.0027008424513041973,6.7985666796474054e-06
inv_eigenval,TSNE,3.0,0.720754716981132,0.5048087881849149,0.01006471086293459,0.0005493377133358514
inverse_dist_matrix,NONE,,0.9132075471698113,,,
inverse_dist_matrix,PCA,1.0,0.6226415094339622,0.8264233469040898,-0.17997526473204933,0.9094241366023528
inverse_dist_matrix,PCA,2.0,0.6377358490566037,0.912767639454337,-0.09332067914698335,0.9540516802841507
inverse_dist_matrix,PCA,3.0,0.7471698113207547,0.9468788271629025,-0.06424544418328837,0.9719972365495714
inverse_dist_matrix,PCA,4.0,0.8150943396226416,0.9595704183521719,-0.04045064444587244,0.981228286960069
inverse_dist_matrix,PCA,5.0,0.8150943396226416,0.9702524970047505,-0.040761375386313206,0.9851098781911235
inverse_dist_matrix,UMAP,1.0,0.6943396226415094,0.925454837129243,-0.06516935676336288,0.7824919846400085
inverse_dist_matrix,UMAP,2.0,0.7924528301886793,0.9562595584229018,-0.023440973833203316,0.667115178813726
inverse_dist_matrix,UMAP,3.0,0.7886792452830189,0.9681311232799897,-0.06456200778484344,0.6136291633898234
inverse_dist_matrix,UMAP,4.0,0.7962264150943397,0.9726788731213751,-0.06558376550674438,0.6368905808337976
inverse_dist_matrix,UMAP,5.0,0.8,0.9742130767752183,-0.059610575437545776,0.6535558268380784
inverse_dist_matrix,TSNE,1.0,0.6528301886792452,0.959938432989512,-0.13491378724575043,0.8529649957432047
inverse_dist_matrix,TSNE,2.0,0.6716981132075471,0.9696472904011828,-0.03117196075618267,0.8473968107867512
inverse_dist_matrix,TSNE,3.0,0.8339622641509434,0.9770490324874372,0.039663977921009064,0.6864942620216847
MBTR,NONE,,0.8566037735849057,,,
MBTR,PCA,1.0,0.46037735849056605,0.6888241423614272,-0.07104892866021749,0.6872896345048595
MBTR,PCA,2.0,0.720754716981132,0.8277711152444832,0.023715213680142767,0.794232457697886
MBTR,PCA,3.0,0.7245283018867924,0.9126794223106706,0.010210087530344759,0.8887779336832129
